id,question,answer,wrong_answer1,wrong_answer2,wrong_answer3
1,Qual é a capital da França?,Paris,Londres,Roma,Berlim
2,Qual é o maior oceano do mundo?,Pacífico,Atlântico,Índico,Ártico
3,"Quem escreveu ""Dom Quixote""?",Miguel de Cervantes,William Shakespeare,Fernando Pessoa,Victor Hugo
4,Qual é a fórmula química da água?,H2O,CO2,O2,H2
5,Quantos continentes existem?,7,5,6,8
6,Quem pintou a Mona Lisa?,Leonardo da Vinci,Michelangelo,Rembrandt,Picasso
7,Qual país é conhecido como a terra do sol nascente?,Japão,China,Coreia do Sul,Tailândia
8,Quem desenvolveu a teoria da relatividade?,Albert Einstein,Isaac Newton,Galileu Galilei,Nikola Tesla
9,Qual é o planeta mais próximo do Sol?,Mercúrio,Marte,Vênus,Terra
10,Quem escreveu a peça Romeu e Julieta?,William Shakespeare,Dante Alighieri,Charles Dickens,Homero
11,Qual é o maior planeta do Sistema Solar?,Júpiter,Saturno,Urano,Marte
12,Quem foi o primeiro presidente do Brasil?,Deodoro da Fonseca,Getúlio Vargas,Juscelino Kubitschek,Pedro II
13,Qual é a capital da Austrália?,Canberra,Sydney,Melbourne,Brisbane
14,Qual é o rio mais longo do mundo?,Amazonas,Nilo,Mississippi,Yangtze
15,Quem foi o primeiro homem a pisar na Lua?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Alan Shepard
16,Quem inventou o algoritmo Quicksort?,Tony Hoare,Alan Turing,Donald Knuth,John von Neumann
17,Quem inventou o algoritmo Mergesort?,John von Neumann,Edsger Dijkstra,Niklaus Wirth,Richard Stallman
18,Quem escreveu a obra Divina Comédia?,Dante Alighieri,Giovanni Boccaccio,Homero,Virgílio
19,Quem pintou o quadro A Noite Estrelada?,Vincent van Gogh,Claude Monet,Edvard Munch,Paul Cézanne
20,Quem pintou a obra Guernica?,Pablo Picasso,Diego Rivera,Salvador Dalí,Henri Matisse
21,Quem foi o autor da escultura O Pensador?,Auguste Rodin,Michelangelo,Bernini,Canova
22,Quem pintou o quadro A Persistência da Memória?,Salvador Dalí,Joan Miró,Henri Rousseau,Pablo Picasso
23,Em que ano o Brasil sediou a Copa do Mundo de Futebol pela primeira vez?,1950,1962,1970,1986
